Timestamp,ElapsedMinutes,PID,PrivateMemoryMB,PrivateMemoryBytes,WorkingSetMB,WorkingSetBytes,Handles,GdiObjects,UserObjects
2026-09-16T05:30:11Z,0,28128,4.31,4521984,37.61,39440384,422,21,19
2026-09-16T05:45:11Z,15,28128,4.32,4526080,37.74,39571456,422,21,19
2026-09-16T06:00:11Z,30,28128,4.32,4526080,37.59,39415808,422,21,19
2026-09-16T06:15:11Z,45,28128,4.32,4526080,37.59,39411712,422,21,19
2026-09-16T06:30:11Z,60,28128,4.32,4526080,37.59,39415808,422,21,19
2026-09-16T06:45:11Z,75,28128,4.32,4526080,37.59,39415808,422,21,19
2026-09-16T07:00:11Z,90,28128,4.32,4526080,37.59,39415808,422,21,19
2026-09-16T07:15:11Z,105,28128,4.32,4526080,37.59,39415808,422,21,19
2026-09-16T07:30:11Z,120,28128,4.32,4526080,37.59,39419904,422,21,19
2026-09-16T07:45:11Z,135,28128,4.32,4526080,37.59,39419904,422,21,19
2026-09-16T08:00:11Z,150,28128,4.32,4526080,37.59,39419904,422,21,19
2026-09-16T08:15:11Z,165,28128,4.32,4526080,37.59,39419904,422,21,19
2026-09-16T08:30:11Z,180,28128,4.32,4526080,37.6,39424000,422,21,19
2026-09-16T08:45:11Z,195,28128,4.32,4526080,37.6,39424000,422,21,19
2026-09-16T09:00:11Z,210,28128,4.32,4526080,37.59,39415808,422,21,19
2026-09-16T09:15:11Z,225,28128,4.32,4526080,37.53,39354368,422,21,19
2026-09-16T09:30:11Z,240,28128,4.32,4526080,37.53,39354368,422,21,19
2026-09-16T09:45:11Z,255,28128,4.32,4526080,37.53,39354368,422,21,19
2026-09-16T10:00:11Z,270,28128,4.32,4526080,37.54,39358464,422,21,19
2026-09-16T10:15:11Z,285,28128,4.32,4526080,37.49,39313408,422,21,19
2026-09-16T10:30:11Z,300,28128,4.32,4526080,37.5,39317504,422,21,19
2026-09-16T10:45:11Z,315,28128,4.32,4526080,37.5,39325696,422,21,19
2026-09-16T11:00:11Z,330,28128,4.32,4526080,37.5,39325696,422,21,19
2026-09-16T11:15:11Z,345,28128,4.32,4526080,37.47,39288832,422,21,19
2026-09-16T11:30:11Z,360,28128,4.32,4526080,35.05,36749312,422,21,19
2026-09-16T11:45:11Z,375,28128,4.32,4526080,35.05,36753408,422,21,19
2026-09-16T12:00:11Z,390,28128,4.32,4526080,35.05,36753408,422,21,19
2026-09-16T12:15:11Z,405,28128,4.32,4526080,35.05,36753408,422,21,19
2026-09-16T12:30:11Z,420,28128,4.32,4526080,35.06,36761600,422,21,19
2026-09-16T12:45:11Z,435,28128,4.32,4526080,35.06,36761600,422,21,19
2026-09-16T13:00:11Z,450,28128,4.32,4526080,35.06,36761600,422,21,19
2026-09-16T13:15:11Z,465,28128,4.32,4526080,35.06,36765696,422,21,19
2026-09-16T13:30:12Z,480,28128,4.32,4526080,35.07,36773888,422,21,19
